Feature,Mean_Abs_SHAP
871,0.0008243588
456,0.0008139623
695,0.00081212487
643,0.0008047326
15,0.0008039463
446,0.00079743715
726,0.00078803534
117,0.00078386266
863,0.0007814134
308,0.0007742858
85,0.00077137345
619,0.00076975056
540,0.000768228
331,0.00076791673
475,0.00076400087
457,0.0007625366
464,0.0007537378
483,0.000752746
35,0.0007493023
641,0.0007487587
500,0.0007485944
490,0.0007419545
576,0.0007401467
452,0.0007394167
458,0.00073099445
900,0.000721272
392,0.0007142381
333,0.0007120832
399,0.0007108058
781,0.0007097653
654,0.00070015417
207,0.0006992632
753,0.00069653324
492,0.0006942395
835,0.0006934459
887,0.00068726984
109,0.0006830048
422,0.0006826016
577,0.0006817558
350,0.0006787324
962,0.000669161
203,0.0006657939
52,0.0006656552
414,0.0006636989
451,0.0006625349
433,0.0006622244
869,0.00066221145
46,0.0006618538
369,0.0006591663
603,0.0006564541
449,0.00065584347
917,0.0006531911
310,0.0006516354
1005,0.0006512009
128,0.00064873014
718,0.000643634
389,0.0006435524
374,0.00064046064
218,0.0006332515
922,0.000623987
534,0.0006231371
974,0.000618285
967,0.00061809225
11,0.0006168199
434,0.00061236107
158,0.00060827134
143,0.00060742255
212,0.0006043137
3,0.0005933559
168,0.0005890242
223,0.0005879442
182,0.00058649154
200,0.0005862666
507,0.00058176887
197,0.00058124063
230,0.0005802458
268,0.00057979574
872,0.00057818566
557,0.00057703274
667,0.00056168425
920,0.0005607489
508,0.00055943686
66,0.00055932894
642,0.0005530988
373,0.0005525094
147,0.00054950104
321,0.0005467733
426,0.0005430996
544,0.00054206874
409,0.00054116553
783,0.00054075517
747,0.000538774
762,0.00053857383
518,0.00053483434
592,0.00052987697
837,0.0005289732
649,0.000528517
264,0.0005258078
868,0.0005208845
601,0.00052018935
114,0.0005150421
484,0.000512976
45,0.0005124243
42,0.0005117039
529,0.0005113312
23,0.0005100335
367,0.00050955964
999,0.0005050639
353,0.0004956262
24,0.00049451285
108,0.0004934778
723,0.00048233639
59,0.0004815203
590,0.0004773345
36,0.000473033
1017,0.00046607616
822,0.00046512161
301,0.00046480956
902,0.00046441183
19,0.00046414224
998,0.00046017018
406,0.00045880265
946,0.00045817238
150,0.00045806807
972,0.00045770724
280,0.00044939463
913,0.0004454748
756,0.00044510988
424,0.0004440517
784,0.00044352413
202,0.0004411937
862,0.00044091453
970,0.0004402218
882,0.00043990018
323,0.00043814495
782,0.00043759987
382,0.0004339904
228,0.00043169147
225,0.00043094624
677,0.00043037013
820,0.00042850434
328,0.00042656195
572,0.00042568
246,0.0004230578
675,0.0004214075
402,0.00042124616
133,0.0004200264
745,0.0004197214
549,0.00041909612
78,0.0004167997
839,0.0004164531
102,0.00041583783
140,0.000415586
819,0.00041224994
455,0.00041186975
953,0.00040669338
63,0.00040114386
2,0.0004004474
58,0.000399508
214,0.0003981606
116,0.0003955639
950,0.0003932964
167,0.00039245328
787,0.00039125426
739,0.0003856195
313,0.00038410764
338,0.00038396238
700,0.00038390188
589,0.00038227288
73,0.0003790089
975,0.00037831804
535,0.00037696582
445,0.00037661023
740,0.0003723452
955,0.00037146517
660,0.00036707017
1010,0.00036665265
495,0.00035996578
548,0.00035786178
992,0.0003569841
994,0.00035344326
186,0.00034663957
774,0.00034495277
371,0.00034445143
921,0.00034385442
