Molecule ChEMBL ID,pIC50,Smiles
CHEMBL1165207,3.076894555722659,COc1ccc(C(=O)c2cc3cccc(OC)c3oc2=S)cc1
CHEMBL1165208,3.2395461028709898,COc1cccc2cc(C(=O)c3ccc(C)cc3)c(=S)oc12
CHEMBL1165357,4.318758762624412,COc1cccc2cc(C(=O)c3ccc(Cl)cc3)c(=S)oc12
CHEMBL1165359,3.703334809738469,COc1ccc(C(=O)c2cc3cc(Br)ccc3oc2=S)cc1
CHEMBL1165360,2.6997259051379583,COc1cccc2cc(C(=O)c3cccs3)c(=S)oc12
CHEMBL116916,4.00436480540245,CC(=O)O[C@H](COP(=O)(O)O)C[S+]([O-])CC(=O)O
CHEMBL1169388,4.274704952102162,CNCC[C@H](Oc1ccc(C(F)(F)F)cc1)c1ccccc1
CHEMBL1172612,6.958607314841775,CC[C@@H](C)[C@H]1O[C@@H](c2c(O)c(-c3ccccc3)cn(O)c2=O)[C@H](C)C[C@@H]1C
CHEMBL1173297,5.289036881004725,C=C1C(=O)O[C@@H]2/C=C(/CO)C3=CC(=O)[C@@](C)(C[C@@H](OC(=O)/C(C)=C\C)[C@@H]12)O3
CHEMBL117442,3.7011469235902936,O=C(NO)[C@H](O)[C@H](O)CO
CHEMBL117534,4.259637310505756,CC1(C)O[C@H](COP(=O)(OCc2ccccc2)OCc2ccccc2)[C@H](C(=O)NOCc2ccccc2)O1
CHEMBL117535,4.522878745280337,CC1(C)O[C@H](CO)[C@H](C(=O)NOCc2ccccc2)O1
CHEMBL11757,5.698970004336019,O=S(=O)(Nc1nc2nc(-c3ccccc3)cc(-c3ccccc3)n2n1)c1ccc(Cl)cc1
CHEMBL117876,4.552841968657781,CC(=O)O[C@H](COP(=O)(OCc1ccccc1)OCc1ccccc1)CSCC(=O)OCc1ccccc1
CHEMBL1180238,2.7179607590646655,COC(=O)[C@@H](N)CCSC
CHEMBL11835,4.809668301829708,Cc1ccc2nc(NS(=O)(=O)c3ccc(N)cc3)oc2c1
CHEMBL11836,5.823908740944319,Cc1ccc(S(=O)(=O)Nc2nc3nc(C)cc(C)n3n2)cc1
CHEMBL11875,5.1938200260161125,Nc1ccc(S(=O)(=O)Nc2nc3ccccc3o2)cc1
CHEMBL11886,4.978810700930062,Nc1ccc(S(=O)(=O)Nc2nc3ccccc3[nH]2)cc1
CHEMBL119096,5.795880017344075,C[n+]1c2ccccc2cc2[n-]c3ccccc3c21
CHEMBL1197563,4.6837713539076375,COc1ccc(C(=N)N)cc1-c1cn(-c2ccc(C(=N)N)cc2)nn1
CHEMBL1200438,4.958058858831151,Clc1ccc(C(Cn2ccnc2)OCc2ccsc2Cl)c(Cl)c1
CHEMBL12014,5.642667503568731,Cc1nccc2c1[nH]c1ccccc12
CHEMBL1203948,4.913640169325252,Cl.Cl.N=C(N)c1ccc2oc(CCCCCCCCc3cc4cc(C(=N)N)ccc4o3)cc2c1
CHEMBL1208813,3.4296454415309334,COC(=O)C(CCSC)NC(=O)/C=C/C=C/c1ccc2c(c1)OCO2
CHEMBL1208903,5.721246399047171,COc1ccc(-c2cc(=O)c3c(O)cc(O)c(-c4cc(-c5cc(=O)c6c(O)cc(O)cc6o5)ccc4OC)c3o2)cc1
CHEMBL1209196,5.045757490560675,COC(=O)c1cc2c([nH]c3ccccc32)c(C)n1
CHEMBL1209945,3.4827419204303034,COC(=O)C(Cc1ccc(O)cc1)NC(=O)CCCCc1ccc2c(c1)OCO2
CHEMBL1209946,3.3806257803593773,COC(=O)C(NC(=O)CCCCc1ccc2c(c1)OCO2)C(C)C
CHEMBL1209947,3.4362095176198157,COC(=O)C(CCSC)NC(=O)CCCCc1ccc2c(c1)OCO2
CHEMBL1209948,3.5398130957240195,COC(=O)C(Cc1c[nH]c2ccccc12)NC(=O)CCCCc1ccc2c(c1)OCO2
CHEMBL1209949,2.691894619805137,COC(=O)[C@@H](N)C(C)C
CHEMBL121024,4.0,CC(C)(C)OC(=O)NCCCCNCCCNC(=O)OC(C)(C)C
CHEMBL1210822,3.392183861600334,COC(=O)C(Cc1ccccc1)NC(=O)/C=C/C=C/c1ccc2c(c1)OCO2
CHEMBL1210881,3.389802110884202,COC(=O)C(Cc1ccc(O)cc1)NC(=O)/C=C/C=C/c1ccc2c(c1)OCO2
CHEMBL1210882,3.5914653417929934,COC(=O)C(NC(=O)/C=C/C=C/c1ccc2c(c1)OCO2)C(C)C
CHEMBL1210883,3.496243461939648,COC(=O)C(Cc1c[nH]c2ccccc12)NC(=O)/C=C/C=C/c1ccc2c(c1)OCO2
CHEMBL1210884,3.312340150271827,O=C(/C=C/C=C/c1ccc2c(c1)OCO2)NC(Cc1ccccc1)C(=O)O
CHEMBL1210964,3.3612079980668454,O=C(/C=C/C=C/c1ccc2c(c1)OCO2)NC(Cc1ccc(O)cc1)C(=O)O
CHEMBL1210965,3.2479005407302775,CC(C)C(NC(=O)/C=C/C=C/c1ccc2c(c1)OCO2)C(=O)O
CHEMBL1210966,3.2536589094751274,CSCCC(NC(=O)/C=C/C=C/c1ccc2c(c1)OCO2)C(=O)O
CHEMBL1210967,3.3081820658190604,O=C(/C=C/C=C/c1ccc2c(c1)OCO2)NC(Cc1c[nH]c2ccccc12)C(=O)O
CHEMBL1210968,3.4241190106517125,COC(=O)C(Cc1ccccc1)NC(=O)CCCCc1ccc2c(c1)OCO2
CHEMBL1213092,3.616184634019569,C[C@@H]1CC[C@H]2CC(=O)O[C@@H]3O[C@@]4(C)CC[C@@H]1[C@@]23OO4
CHEMBL1213093,4.214670164989233,CC[C@H]1C(=O)O[C@@H]2O[C@@]3(C)CC[C@H]4[C@H](C)CC[C@@H]1[C@@]24OO3
CHEMBL1213178,5.3979400086720375,O=c1ncnc2n([C@H]3O[C@@H](CO)[C@H](O)[C@@H]3O)[nH]cc1-2
CHEMBL1213464,4.769551078621726,CCC[C@H]1C(=O)O[C@@H]2O[C@@]3(C)CC[C@H]4[C@H](C)CC[C@@H]1[C@@]24OO3
CHEMBL1213501,4.7447274948966935,C=CC[C@H]1C(=O)O[C@@H]2O[C@@]3(C)CC[C@H]4[C@H](C)CC[C@@H]1[C@@]24OO3
CHEMBL1213502,4.920818753952375,CCCC[C@H]1C(=O)O[C@@H]2O[C@@]3(C)CC[C@H]4[C@H](C)CC[C@@H]1[C@@]24OO3
CHEMBL1213503,5.045757490560675,CC(C)CCC[C@H]1C(=O)O[C@@H]2O[C@@]3(C)CC[C@H]4[C@H](C)CC[C@@H]1[C@@]24OO3
CHEMBL1213504,4.102372908709558,C[C@@H]1CC[C@H]2[C@@H](CCCC(F)(F)F)C(=O)O[C@@H]3O[C@@]4(C)CC[C@@H]1[C@]32OO4
CHEMBL1213505,4.346787486224656,C[C@@H]1CC[C@H]2[C@H](CCCc3ccccc3)C(=O)O[C@@H]3O[C@@]4(C)CC[C@@H]1[C@]32OO4
CHEMBL1213547,5.096910013008056,C[C@@H]1CC[C@H]2[C@@H](CCCCc3ccccc3)C(=O)O[C@@H]3O[C@@]4(C)CC[C@@H]1[C@]32OO4
CHEMBL1213548,5.3979400086720375,C[C@@H]1CC[C@H]2[C@@H](CCCc3cccc(F)c3)C(=O)O[C@@H]3O[C@@]4(C)CC[C@@H]1[C@]32OO4
CHEMBL1213549,4.920818753952375,C[C@@H]1CC[C@H]2[C@@H](CCCc3ccc(Cl)cc3)C(=O)O[C@@H]3O[C@@]4(C)CC[C@@H]1[C@]32OO4
CHEMBL1213550,4.920818753952375,COc1ccc(CCC[C@H]2C(=O)O[C@@H]3O[C@@]4(C)CC[C@H]5[C@H](C)CC[C@@H]2[C@@]35OO4)cc1
CHEMBL1213587,6.0,CSc1ccc(CCC[C@H]2C(=O)O[C@@H]3O[C@@]4(C)CC[C@H]5[C@H](C)CC[C@@H]2[C@@]35OO4)cc1
CHEMBL1213588,4.267606240177032,C[C@@H]1CC[C@H]2[C@@H](CCCc3ccc(S(C)(=O)=O)cc3)C(=O)O[C@@H]3O[C@@]4(C)CC[C@@H]1[C@]32OO4
CHEMBL1213589,4.34823998154636,C[C@@H]1CC[C@H]2[C@@H](CCCc3ccc(O)cc3)C(=O)O[C@@H]3O[C@@]4(C)CC[C@@H]1[C@]32OO4
CHEMBL1213590,4.847754736113256,C[C@@H]1CC[C@H]2[C@@H](CCCc3cc(C(F)(F)F)cc(C(F)(F)F)c3)C(=O)O[C@@H]3O[C@@]4(C)CC[C@@H]1[C@]32OO4
CHEMBL1213626,4.301029995663981,C[C@@H]1CC[C@H]2[C@@H](CCCc3cc(F)cc(F)c3)C(=O)O[C@@H]3O[C@@]4(C)CC[C@@H]1[C@]32OO4
CHEMBL1213746,4.366265777501972,CCCN(CCC)c1ccc(S(=O)(=O)Nc2ccccc2)cc1[N+](=O)[O-]
CHEMBL1214077,5.7447274948966935,CC[C@H](C)[C@H](NC(=O)[C@H](CCCCN)NC(=O)[C@H](CCCCN)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCCCN)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@@H](N)CCCCN)C(=O)NCC(=O)N[C@@H](C)C(=O)N[C@H](C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCCN)C(=O)N[C@H](C(=O)N[C@@H](CC(C)C)C(N)=O)C(C)C)C(C)C
