Molecule ChEMBL ID,SMILES,pIC50,Molecular_Weight,AlogP,TPSA,HBA,HBD,RO5_Violations,Rotatable_Bonds,QED,Aromatic_Rings,Heavy_Atoms,NP_Likeness
CHEMBL359397,O=S(=O)(c1cc(C(F)(F)F)ccc1F)N1CCN(c2ccccn2)CC1,3.346787486224656,389.37,2.75,53.51,4.0,0.0,0.0,3.0,0.76,2.0,26.0,-2.61
CHEMBL36,CCc1nc(N)nc(N)c1-c1ccc(Cl)cc1,4.237436776637224,248.72,2.52,77.82,4.0,2.0,0.0,2.0,0.86,2.0,17.0,-0.93
CHEMBL3601621,CC(C)=CCOc1ccccc1/C=C/C(=O)c1ccccc1,5.853871964321762,292.38,4.93,26.3,2.0,0.0,0.0,6.0,0.43,2.0,22.0,0.22
CHEMBL3601622,CC(C)=CCC/C(C)=C/CC/C(C)=C/COc1ccccc1/C=C/C(=O)c1ccccc1,5.853871964321762,428.62,8.38,26.3,2.0,0.0,1.0,12.0,0.19,2.0,32.0,0.73
CHEMBL3601623,CC(C)=CCC/C(C)=C/COc1cccc(/C=C/C(=O)c2ccccc2)c1,5.853871964321762,360.5,6.65,26.3,2.0,0.0,1.0,9.0,0.28,2.0,27.0,0.8
CHEMBL3601624,CC(C)=CCC/C(C)=C/CC/C(C)=C/COc1cccc(/C=C/C(=O)c2ccccc2)c1,5.853871964321762,428.62,8.38,26.3,2.0,0.0,1.0,12.0,0.19,2.0,32.0,0.77
CHEMBL3604079,O=C1C=C(Oc2ccc(F)cc2)C(=O)c2ccccc21,5.739928612014925,268.24,3.17,43.37,3.0,0.0,0.0,2.0,0.84,2.0,20.0,0.19
CHEMBL3604080,O=C1C=C(Oc2ccc(F)cc2)C(=O)c2cc3ccccc3cc21,5.669586226650809,318.3,4.32,43.37,3.0,0.0,0.0,2.0,0.71,3.0,24.0,0.21
CHEMBL3604081,COc1cccc2c1C(=O)C=C(Oc1ccc(F)cc1)C2=O,5.429457060118103,298.27,3.18,52.6,4.0,0.0,0.0,3.0,0.87,2.0,22.0,0.31
CHEMBL3604082,COc1cccc2c1C(=O)C(Oc1ccc(F)cc1)=CC2=O,5.224025668870631,298.27,3.18,52.6,4.0,0.0,0.0,3.0,0.87,2.0,22.0,0.44
CHEMBL3604083,O=C1C(Oc2ccc(F)cc2)=CC(=O)c2c(O)cccc21,5.52432881167557,284.24,2.87,63.6,4.0,1.0,0.0,2.0,0.92,2.0,21.0,0.68
CHEMBL3604084,O=C1C=C(Oc2ccc(F)cc2)C(=O)c2c(O)cccc21,5.876148359032914,284.24,2.87,63.6,4.0,1.0,0.0,2.0,0.92,2.0,21.0,0.72
CHEMBL3604085,CC(=O)Nc1ccc(OC2=CC(=O)c3ccccc3C2=O)cc1,5.393618634889394,307.31,2.99,72.47,4.0,1.0,0.0,3.0,0.95,2.0,23.0,0.05
CHEMBL3604086,CC(=O)Nc1ccc(OC2=CC(=O)c3cc4ccccc4cc3C2=O)cc1,5.488116639021126,357.37,4.14,72.47,4.0,1.0,0.0,3.0,0.76,3.0,27.0,0.09
CHEMBL3604087,COc1cccc2c1C(=O)C=C(Oc1ccc(NC(C)=O)cc1)C2=O,5.321481620959887,337.33,3.0,81.7,5.0,1.0,0.0,4.0,0.93,2.0,25.0,0.16
CHEMBL3604088,COc1cccc2c1C(=O)C(Oc1ccc(NC(C)=O)cc1)=CC2=O,5.231361898752386,337.33,3.0,81.7,5.0,1.0,0.0,4.0,0.93,2.0,25.0,0.27
