Molecular_Weight,AlogP,TPSA,HBA,HBD,RO5_Violations,Rotatable_Bonds,QED,Aromatic_Rings,Heavy_Atoms,NP_Likeness
750.88,2.32,229.74,13.0,7.0,3.0,10.0,0.16,0.0,53.0,2.31
764.91,2.57,229.74,13.0,7.0,3.0,11.0,0.15,0.0,54.0,2.32
766.92,2.65,229.74,13.0,7.0,3.0,11.0,0.15,0.0,54.0,2.18
780.95,3.04,229.74,13.0,7.0,3.0,11.0,0.15,0.0,55.0,2.14
780.91,1.54,249.97,14.0,8.0,3.0,11.0,0.11,0.0,55.0,2.41
762.89,2.33,218.74,14.0,6.0,3.0,10.0,0.11,0.0,54.0,2.33
764.91,2.41,218.74,14.0,6.0,3.0,10.0,0.14,0.0,54.0,2.26
778.93,2.66,218.74,14.0,6.0,3.0,11.0,0.13,0.0,55.0,2.27
780.95,2.74,218.74,14.0,6.0,3.0,11.0,0.13,0.0,55.0,2.13
794.98,3.13,218.74,14.0,6.0,3.0,11.0,0.13,0.0,56.0,2.08
794.93,1.63,238.97,15.0,7.0,3.0,11.0,0.09,0.0,56.0,2.36
346.37,1.69,126.9,7.0,0.0,0.0,9.0,0.49,1.0,23.0,-1.27
796.95,2.01,249.97,14.0,8.0,3.0,12.0,0.13,0.0,56.0,2.31
768.89,1.37,249.97,14.0,8.0,3.0,11.0,0.14,0.0,54.0,2.37
606.75,3.55,170.82,9.0,5.0,1.0,8.0,0.26,0.0,43.0,2.4
810.98,2.1,238.97,15.0,7.0,3.0,12.0,0.11,0.0,57.0,2.26
782.92,1.46,238.97,15.0,7.0,3.0,11.0,0.12,0.0,55.0,2.32
620.78,3.64,159.82,10.0,4.0,1.0,8.0,0.23,0.0,44.0,2.34
268.23,-2.2,144.35,7.0,5.0,0.0,2.0,0.42,2.0,19.0,0.88
157.17,2.05,29.96,2.0,0.0,0.0,1.0,0.59,2.0,12.0,-0.68
407.58,5.68,58.59,4.0,0.0,1.0,20.0,0.15,0.0,27.0,0.44
469.93,4.79,105.7,6.0,3.0,0.0,7.0,0.34,4.0,33.0,-0.21
321.16,4.09,55.12,3.0,1.0,0.0,3.0,0.79,3.0,21.0,-1.65
598.5,6.43,95.26,4.0,2.0,2.0,5.0,0.14,5.0,40.0,-0.32
598.5,6.43,95.26,4.0,2.0,2.0,5.0,0.14,5.0,40.0,-0.32
266.42,5.17,37.3,1.0,1.0,1.0,12.0,0.39,0.0,19.0,0.79
584.47,5.87,95.26,4.0,2.0,2.0,5.0,0.15,5.0,39.0,-0.37
584.47,5.87,95.26,4.0,2.0,2.0,5.0,0.15,5.0,39.0,-0.37
590.86,5.96,95.26,4.0,2.0,2.0,4.0,0.15,5.0,38.0,-0.44
635.31,6.07,95.26,4.0,2.0,2.0,4.0,0.14,5.0,38.0,-0.26
491.55,4.86,95.26,4.0,2.0,0.0,4.0,0.21,5.0,37.0,-0.27
491.55,4.86,95.26,4.0,2.0,0.0,4.0,0.21,5.0,37.0,-0.27
505.57,5.11,95.26,4.0,2.0,2.0,5.0,0.2,5.0,38.0,-0.28
505.57,5.11,95.26,4.0,2.0,2.0,5.0,0.2,5.0,38.0,-0.28
519.6,5.67,95.26,4.0,2.0,2.0,5.0,0.18,5.0,39.0,-0.23
519.6,5.67,95.26,4.0,2.0,2.0,5.0,0.18,5.0,39.0,-0.23
511.97,5.2,95.26,4.0,2.0,2.0,4.0,0.2,5.0,37.0,-0.35
556.42,5.31,95.26,4.0,2.0,2.0,4.0,0.18,5.0,37.0,-0.18
